fileName,alpha,construction,localSearch,valueConstruction,valueGRASP
instances/qbf020,0.05,1,true,-94.0,-116.0
instances/qbf040,0.05,1,true,-332.0,-332.0
instances/qbf060,0.05,1,true,-454.0,-454.0
instances/qbf080,0.05,1,true,-817.0,-817.0
instances/qbf100,0.05,1,true,-1220.0,-1220.0
instances/qbf200,0.05,1,true,-4196.0,-4196.0
instances/qbf400,0.05,1,true,-10768.0,-10768.0
instances/qbf020,0.1,1,true,-94.0,-116.0
instances/qbf040,0.1,1,true,-332.0,-332.0
instances/qbf060,0.1,1,true,-488.0,-488.0
instances/qbf080,0.1,1,true,-816.0,-816.0
instances/qbf100,0.1,1,true,-1230.0,-1230.0
instances/qbf200,0.1,1,true,-4154.0,-4154.0
instances/qbf400,0.1,1,true,-10815.0,-10815.0
instances/qbf020,0.05,1,false,-94.0,-116.0
instances/qbf040,0.05,1,false,-332.0,-333.0
instances/qbf060,0.05,1,false,-454.0,-481.0
instances/qbf080,0.05,1,false,-817.0,-820.0
instances/qbf100,0.05,1,false,-1207.0,-1229.0
instances/qbf200,0.05,1,false,-4166.0,-4199.0
instances/qbf400,0.05,1,false,-10827.0,-10883.0
instances/qbf020,0.05,2,true,-111.0,-116.0
instances/qbf040,0.05,2,true,-320.0,-320.0
instances/qbf060,0.05,2,true,-476.0,-476.0
instances/qbf080,0.05,2,true,-805.0,-805.0
instances/qbf100,0.05,2,true,-1131.0,-1131.0
instances/qbf200,0.05,2,true,-3986.0,-3986.0
instances/qbf400,0.05,2,true,-9938.0,-9938.0
instances/qbf020,0.05,3,true,-94.0,-116.0
instances/qbf040,0.05,3,true,-332.0,-332.0
instances/qbf060,0.05,3,true,-454.0,-454.0
instances/qbf080,0.05,3,true,-814.0,-814.0
instances/qbf100,0.05,3,true,-1234.0,-1234.0
instances/qbf200,0.05,3,true,-4172.0,-4172.0
instances/qbf400,0.05,3,true,-10714.0,-10714.0
